Путь рубрики;Название рубрики;Типы объявления;Метка
;;Косметологическое и медицинское оборудование;cosmetics_equipment
;;Швейное оборудование;equipment_sew_machine
;;Оборудование для автосервиса;equipment_car
;;Чистящая и моющая техника;cleaning_equipment
;;Другое оборудование для сферы услуг;food_equipment
/equipment/building;Строительное оборудование;Сварочное оборудование;equipment_welding
;;Грузоподъемное оборудование;equipment_lifting
;;Строительные компрессоры;equipment_compressor
;;Оборудование для приготовления раствора;equipment_concrete
;;Строительные леса;equipment_tower
;;Генераторы;equipment_generator
;;Другое строительное и ремонтное оборудование;prod_equipment
/equipment/production;Станки, производственное и обрабатывающее оборудование;Оборудование по утилизации и переработке;equipment_recycling
;;Оборудование для полиграфии;equipment_polygraphy
;;Оборудование для промышленной пищевой обработки;equipment_industry_food
;;Оборудование для промышленной упаковки;equipment_industry_packaging
;;Деревообрабатывающие станки;equipment_woodworking
;;Металлообрабатывающие станки;equipment_metalworking
;;Другие станки и производственное оборудование;engineer_tool
/equipment/safety;Системы охраны и безопасности;Оборудование для видеонаблюдения;equipment_video
;;Оборудование для охранной сигнализации;equipment_alarm
;;Сейфы;equipment_safe
;;Контроль доступа;equipment_access
;;Другие системы охраны и безопасности;safety_equipment
/equipment/other;Другое;Прочее оборудование;other_equipment
;Товары для детей;;
/children/baby-clothes;Детская одежда;Детская одежда;baby-clothes
/children/baby-carriage;Коляски;Коляски;baby-carriage
/children/baby-shoes;Детская обувь;Детская обувь;baby-shoes
/children/baby-carseat;Автокресла;Автокресла;baby-carseat
/children/baby-furniture;Детская мебель ;;
/children/baby-furniture/baby-bed;Кроватки;Кроватки;baby-bed
/children/baby-furniture/changing-table;Пеленальные столики, комоды;Пеленальные столики;changing-table
;;Комоды;commode
/children/baby-furniture/baby-chair;Стульчики для кормления, столы;Стульчики для кормления, столы;baby-chair
/children/baby-furniture/playpen;Манежи;Манежи;playpen
/children/baby-furniture/other;Прочее;Другая детская мебель;other_baby_furnish
;Товары для малышей ;;
/children/babyware/baby-feed;Кормление;Кормление;baby-feed
/children/babyware/bath-hygiene;Купание, гигиена;Купание, гигиена;bath-hygiene
/children/babyware/nappy;Подгузники, пеленки;Подгузники, пеленки;nappy
/children/babyware/baby-carrier;Рюкзаки, слинги, переноски;Рюкзаки, слинги, переноски;baby-carrier
/children/babyware/baby-jumper;Ходунки, прыгунки, шезлонги;Ходунки, прыгунки, шезлонги;baby-jumper
/children/babyware/other;Прочее;Прочие товары для малышей;baby-feed-other
/children/toys;Игрушки;Игрушки;toys
/children/baby-textile;Постельные принадлежности;Постельные принадлежности;baby-textile
/children/baby-sportware;Спортивные товары;Спортивные товары;baby-sportware
/children/mum-to-be;Для будущих мам;Для будущих мам;mum-to-be
/children/schoolware;Товары для школы;Товары для школы;schoolware
/children/other;Другие детские товары;Другие детские товары;baby-other
;Бизнес и партнерство;;
;Готовый бизнес ;;
/business/business/ready-made-business;Бизнес под ключ;Готовый бизнес;business
/business/business/franchising;Франшизы;Франчайзинг;franchising
;Партнерство и сотрудничество ;;
/business/collaboration/loans;Кредиты, займы;Кредиты, займы;finance_service
/business/collaboration/partnership;Партнерство;Партнерство;partnership
/business/collaboration/sales;Представительство, реализация;Представительство;sales
/business/collaboration/other;Другое;Партнерство другое;other_partnership
;Бизнес услуги ;;
/business/business-services/legal;Юридическое сопровождение;Юридические услуги;law_service
/business/business-services/book-keeping;Бухгалтерское, аудиторское сопровождение;Бухгалтерия, аудит, консалтинг;accountancy
/business/business-services/credit;Помощь в получении кредита;Помощь в получении кредита;credit
/business/business-services/finance;Финансовая помощь, консультации;Финансовая помощь;finance_help
/business/business-services/advertisement-print;Реклама и полиграфия, печати и штампы;Реклама и полиграфия, печати и штампы;ads
/business/business-services/other;Другие услуги;Другие бизнес услуги;business_service_other
;Сырье, тара, товары оптом ;;
/business/tara-materials/tara;Инвентарь, тара;Тара;tara
/business/tara-materials/materials;Сырье, вторичная переработка;Сырье;raw_materials
/business/tara-materials/goods;Товары оптом;Товары оптом;goods_wholesale
/business/tara-materials/other;Другое;Другое товары для бизнеса;tara_other
;Мебель, интерьер, обиход;;
;Мебель для гостиной ;;
/furniture-interior/living-room/composition;Стенки, модули;Гостиные стенки;composition
/furniture-interior/living-room/tables;Столы, журнальные столики;Гостиные столики;tables
/furniture-interior/living-room/racks;Стеллажи, полки, витрины;Гостиные полки;racks
/furniture-interior/living-room/stands;Тумбы для ТВ;Тумбы под ТВ;stands
/furniture-interior/living-room/other;Другое;Другая гостиная мебель;furniture
;Мягкая мебель ;;
/furniture-interior/upholstered-furniture/sofa;Диваны;Диваны;sofa
/furniture-interior/upholstered-furniture/chairs;Кресла, пуфы, банкетки;Кресла;chairs
/furniture-interior/upholstered-furniture/other;Другое;Другая мягкая мебель;upholstered-furniture_other
;Мебель для спальни ;;
/furniture-interior/bedroom/composition;Спальные гарнитуры;Спальные гарнитуры;bedroom_composition
/furniture-interior/bedroom/beds;Кровати;Кровати;beds
/furniture-interior/bedroom/cupboards;Шкафы;Спальные шкафы;cupboards
/furniture-interior/bedroom/stands;Тумбы, комоды, туалетные столики;Спальные столики;bedroom_stands
/furniture-interior/bedroom/other;Другое;Другая мебель для спальни;bedroom_other
;Мебель для кухни ;;
/furniture-interior/kitchen/composition;Кухонные гарнитуры;Кухонные гарнитуры;kitchen_composition
/furniture-interior/kitchen/corners;Кухонные уголки;Кухонные уголки;corners
/furniture-interior/kitchen/cupboards;Кухонные шкафы, полки, столешницы;Кухонные шкафы;kitchen_cupboards
/furniture-interior/kitchen/tables;Столы, стулья, столовые группы;Кухонные столы, стулья, столовые группы;kitchen_tables
/furniture-interior/kitchen/other;Другое;Другая кухонная мебель;kitchen_other
;Мебель для прихожей ;;
/furniture-interior/hallway/composition;Готовые гарнитуры;Гарнитуры для прихожей;hallway_composition
/furniture-interior/hallway/cupboards;Шкафы;Шкафы для прихожей;hallway_cupboards
/furniture-interior/hallway/stands;Тумбы, полки для обуви;Тумбы для прихожей;hallway_stands
/furniture-interior/hallway/other;Другое;Другая мебель для прихожей;hallway_other
/furniture-interior/bathroom;Мебель для ванной комнаты;Мебель для ванной;bathroom
/furniture-interior/computer-tables;Компьютерные столы и кресла;Компьютерные столы;computer-tables
/furniture-interior/office-furniture;Офисная мебель;Офисная мебель;office-furniture
;Предметы обихода ;;
/furniture-interior/home-stuff/mattress;Матрасы;Матрасы;mattress
/furniture-interior/home-stuff/textiles;Текстиль;Текстиль;textiles
/furniture-interior/home-stuff/dishes;Посуда;Посуда;dishes
/furniture-interior/home-stuff/other;Другое;Другие предметы обихода;home-stuff_other
/furniture-interior/bathroom-items;Товары для ванной и туалета;Товары для ванной;bathroom-items
/furniture-interior/cleaning;Товары для уборки дома;Товары для уборки;adtype_label
/furniture-interior/other;Другая мебель;Другая мебель и предметы обихода;other_furniture
/furniture-interior/repair;Ремонт мебели;Ремонт мебели;repair_furniture
;Интерьер ;;
/furniture-interior/interior/mirrors;Зеркала;Зеркала;mirrors
/furniture-interior/interior/carpets;Ковры;Ковры;carpets
/furniture-interior/interior/lights;Освещение;Освещение;lights
/furniture-interior/interior/decorations;Элементы декора;Декор;interior_decorations
/furniture-interior/interior/other;Другое;Предметы обихода другое;everyday_devices
;Одежда, обувь, аксессуары;;
/apparel-footwear/women-clothes;Женская одежда;Свитера, джемпера;sweater
;;Брюки, джинсы, шорты женские;women-trousers
;;Пальто;coat
;;Женское нижнее бельё;women-underwear
;;Другая женская одежда;other_women_clothes
;;Блузки, рубашки, кофты;blouse
;;Купальники;women-swimsuit
;;Куртки;jacket
;;Платья, сарафаны, туники;dress
;;Шубы;fur
;;Спортивная одежда для женщин;women-sportswear
;;Юбки;skirt
;;Другая верхняя одежда;outerwear
;;Женские пиджаки;women_jacket
;;Женские головные уборы;women_headdress
;;Костюмы;women-suit
;;Женские карнавальные костюмы;women_fancy_dress
/apparel-footwear/men-clothes;Мужская одежда ;Мужские костюмы;men-suit
;;Брюки, джинсы, шорты мужские;men-trousers
;;Мужские карнавальные костюмы;men_fancy_dress
;;Другая мужская одежда;other_men_clothes
;;Рубашки;shirt
;;Плавки, пляжные шорты;men-swimsuit
;;Пиджаки;suit-jacket
;;Футболки;t-shirt
;;Спортивная одежда для мужчин;men-sportswear
;;Верхняя одежда для мужчин;men-outerwear
;;Нижнее бельё;men-underwear
;;Мужские головные уборы;men_headdress
;;Мужские свитера, джемпера;jumper
/apparel-footwear/women-shoes;Женская обувь;Ботильоны;ankle-boots
;;Ботинки;women-boots
;;Другая женская обувь;other_women_shoes
;;Туфли;women-shoes
;;Босоножки;sandal
;;Сапоги;high-shoes
;;Угги;ugg
;;Спортивная обувь для женщин;women-sportshoes
/apparel-footwear/men-shoes;Мужская обувь;Мужские туфли;brogues
;;Мужские ботинки;men-boots
;;Спортивная обувь для мужчин;men-sportshoes
;;Другая мужская обувь;other-men-shoes
;Украшения, ювелирные изделия, бижутерия ;;
/apparel-footwear/jewellery-bijou/jewellery;Ювелирные изделия;Ювелирные изделия;jewellery
/apparel-footwear/jewellery-bijou/bijou;Бижутерия;Бижутерия;bijou
/apparel-footwear/jewellery-bijou/other;Другие украшения;Другие украшения;other-jewellery
;Аксессуары;;
/apparel-footwear/accessories-men-women/watches;Наручные часы;Наручные часы;watches
/apparel-footwear/accessories-men-women/bags;Сумки, чемоданы;Сумки;bags
;;Чемоданы;case
;;Барсетки;man_bag
;;Клатчи;clutch
;;Другие сумки;other_bags
/apparel-footwear/accessories-men-women/other;Другие аксессуары;Другие аксессуары;other-accessorise
;Все для свадьбы;;
/apparel-footwear/wedding/wedding-dress;Свадебные платья;Свадебные платья;wedding-dress
/apparel-footwear/wedding/wedding_shoes;Свадебная обувь;Свадебная обувь;wedding-shoes
/apparel-footwear/wedding/bolero;Свадебные шубки, накидки;Свадебные шубки, накидки;bolero
/apparel-footwear/wedding/suit;Костюмы, смокинги;Костюмы, смокинги;wedding-suit
/apparel-footwear/wedding/wedding_accessories;Аксессуары для невесты;Аксессуары для невесты;wedding-accessories
/apparel-footwear/wedding/other;Другое;Другие свадебные товары;other-wedding
/apparel-footwear/other;Другое;Другая одежда;other-clothes
;Книги, учебники, журналы;;
/books-papers/fiction;Художественная литература;Художественная литература;art_literature
/books-papers/study;Учебная литература;Учебная литература;cource_literature
/books-papers/magazines;Журналы, газеты;Журналы, газеты;magazines
/books-papers/comixes;Альбомы и комиксы;Альбомы и комиксы;album
/books-papers/other;Другое;Другие печатные издания;other_literature
;Музыка, искусство;;
/arts-music/instruments;Музыкальные инструменты;Музыкальные инструменты;music
/arts-music/recordings;Аудио-, видеозаписи;Аудиозапись;audio_tape
;;Видеозапись;video_tape
/arts-music/arts;Произведения искусства и антиквариат;Произведения искусства и антиквариат;art_antiques
/arts-music/collections;Коллекционирование;Коллекционирование;collection
/arts-music/other;Другое;Другие музыкальные товары и предметы искусства;other_music
/arts-music/service;Реставрация и сервис;Реставрация и сервис музыкальных инструментов;music_repair_service
;Спорт, туризм, отдых;;
;Спортивные игры, виды спорта ;;
/sports-tourism/sports/wintersport;Зимний инвентарь;Инвентарь для зимних видов спорта;wintersport_equipment
/sports-tourism/sports/summersport;Летний инвентарь;Инвентарь для летних видов спорта;summersport_equipment
/sports-tourism/sports/watersport;Водный спорт, дайвинг;Водный спорт, дайвинг;watersport_equip
/sports-tourism/sports/table-games;Настольные игры;Настольные игры;table_games
/sports-tourism/bicycles;Велосипеды;Велосипеды;bike
;Снаряжение для рыбалки, охоты, активного отдыха ;;
/sports-tourism/tourism/fishing;Рыбалка;Снаряжение для рыбалки;fishing_equipment
/sports-tourism/tourism/outdoor;Туризм;Туристическое снаряжение;tourism_equipment
/sports-tourism/tourism/other;Другое;Другое снаряжение для активного отдыха;activsport_other
;Фитнес, атлетика, борьба ;;
/sports-tourism/fitness/home-gym;Тренажеры, спорткомплексы;Тренажеры;home_gym
/sports-tourism/fitness/athletic;Атлетика и фитнес;Снаряжение для атлетики и фитнеса;fitness_equipment
/sports-tourism/fitness/boxing;Бокс, товары для единоборств;Снаряжение для бокса и единоборств;boxing_equipment
/sports-tourism/travel;Экскурсии, туры, круизы;Путешествие;travel
/sports-tourism/study;Обучения и занятия;Обучение и занятия спортом;sport_services
/sports-tourism/other;Другое;Прочие спортивные товары;other_sport_goods
;Услуги и деятельность;;
;Строительные и ремонтные услуги ;;
/services-business/building/construction;Cтроительно-монтажные работы;Строительство и монтаж;building_service
/services-business/building/repair;Отделочные и ремонтные работы;Отделка и ремонт;repair_service
/services-business/building/design;Проектирование и дизайн;Проектирование и дизайн;design_service
/services-business/building/other;Другое;Другие строительно-ремонтные работы;building_other
;Транспортные услуги и аренда ;;
/services-business/transportation/moving;Грузоперевозки, переезды, грузчики;Грузоперевозки, грузчики;loaders
/services-business/transportation/special;Аренда спецтехники и вывоз отходов;Аренда спецтехники;special_tech
;;Вывоз отходов;domestics
/services-business/transportation/hiring;Такси, аренда и прокат, пассажирские перевозки;Такси, аренда и прокат, пассажирские перевозки;auto_rental
/services-business/transportation/other;Другое;Другие транспортные услуги;other_transport_service
/services-business/equipment;Монтаж и ремонт оборудования;Монтаж и ремонт оборудования;repair_equipment
/services-business/astrology;Астрология, магия, гадания;Астрология, магия, гадания;astrology
/services-business/actions;Организация праздников, фото-, видеосъёмка;Организация праздников, фото-, видеосъёмка;holiday_organization
/services-business/security;Безопасность, детективы;Безопасность, детективы;detectives
/services-business/advocates;Адвокаты, нотариусы, специалисты;Адвокаты, нотариусы, специалисты;lawers
/services-business/food;Питание, обеды с доставкой;Питание, обеды с доставкой;eating
/services-business/internet;Услуги в Интернете;Услуги в Интернете;internet_service
/services-business/real-estate;Агентства недвижимости;Агентства недвижимости;agency
/services-business/data-processing;Набор и обработка информации;Набор и обработка информации;info_entering
/services-business/clothes-repair;Ремонт и изготовление одежды и обуви;Индпошив одежды и обуви;sewing
/services-business/documents;Помощь в оформлении документов;Помощь в оформлении документов;document_help
/services-business/demand;Спрос;Услуги требуются;service_needed
/services-business/translations;Услуги переводчиков;Услуги переводчиков;translators
;Услуги для животных ;;
/services-business/animals/veterinary;Ветеринария;Ветеринары;veterinary
/services-business/animals/grooming;Стрижка;Стрижка животных;animal_haircut
/services-business/animals/hotels;Питомники, зоогостиницы, няни, содержание;Присмотр за животными;animal_care
/services-business/animals/other;Другие;Другие услуги для животных;other_animal_care
/services-business/other;Другое;Прочие услуги;other_services
;Работа и образование;;
;Вакансии: поиск сотрудников;;
/jobs-education/vacancies/communal;Бытовые и коммунальные услуги, муниципалитет;Вакансия;opening
/jobs-education/vacancies/provision;Закупки и снабжение;Вакансия;opening
/jobs-education/vacancies/entertainment;Индустрия отдыха и развлечений;Вакансия;opening
/jobs-education/vacancies/it;Информационные технологии и интернет;Вакансия;opening
/jobs-education/vacancies/beauty;Красота, фитнес, спорт;Вакансия;opening
/jobs-education/vacancies/logistics;Логистика, склад, вэд;Вакансия;opening
/jobs-education/vacancies/marketing-pr;Маркетинг, реклама, pr;Вакансия;opening
/jobs-education/vacancies/medicine;Медицина и фармацевтика;Вакансия;opening
/jobs-education/vacancies/real-estate;Недвижимость, риэлторство;Вакансия;opening
/jobs-education/vacancies/nannies/;Няни, воспитатели, помощники в хозяйстве;Вакансия;opening
/jobs-education/vacancies/education;Образование, наука, культура;Вакансия;opening
/jobs-education/vacancies/assistance;Обслуживающий персонал, секретариат, ахо ;Вакансия;opening
/jobs-education/vacancies/security;Охрана, безопасность;Вакансия;opening
/jobs-education/vacancies/retail;Продажи;Вакансия;opening
/jobs-education/vacancies/production;Промышленность, производство;Вакансия;opening
/jobs-education/vacancies/horeca;Ресторанный бизнес, фастфуд;Вакансия;opening
/jobs-education/vacancies/management;Руководители;Вакансия;opening
/jobs-education/vacancies/print-media;Сми, издательство, полиграфия;Вакансия;opening
/jobs-education/vacancies/insurance;Страхование;Вакансия;opening
/jobs-education/vacancies/building;Строительство и архитектура;Вакансия;opening
/jobs-education/vacancies/transport;Транспорт, автобизнес;Вакансия;opening
/jobs-education/vacancies/tourism;Туризм, гостиничное дело;Вакансия;opening
/jobs-education/vacancies/freelance;Удаленная работа;Вакансия;opening
/jobs-education/vacancies/hr;Управление персоналом;Вакансия;opening
/jobs-education/vacancies/finance;Финансы, бухгалтерия, банк;Вакансия;opening
/jobs-education/vacancies/legal;Юриспруденция;Вакансия;opening
/jobs-education/vacancies/other;Другие сферы деятельности;Вакансия;opening
;Резюме: поиск работы;;
/jobs-education/resumes/communal;Бытовые и коммунальные услуги, муниципалитет (вакансии);Резюме;resume
/jobs-education/resumes/provision;Закупки и снабжение;Резюме;resume
/jobs-education/resumes/entertainment;Индустрия отдыха и развлечений;Резюме;resume
/jobs-education/resumes/it;Информационные технологии и интернет;Резюме;resume
/jobs-education/resumes/beauty;Красота, фитнес, спорт;Резюме;resume
/jobs-education/resumes/logistics;Логистика, склад, вэд;Резюме;resume
/jobs-education/resumes/marketing-pr;Маркетинг, реклама, pr;Резюме;resume
/jobs-education/resumes/medicine;Медицина и фармацевтика;Резюме;resume
/jobs-education/resumes/real-estate;Недвижимость, риэлторство;Резюме;resume
/jobs-education/resumes/nannies/;Няни, воспитатели, помощники в хозяйстве;Резюме;resume
/jobs-education/resumes/education;Образование, наука, культура;Резюме;resume
/jobs-education/resumes/assistance;Обслуживающий персонал, секретариат, ахо ;Резюме;resume
/jobs-education/resumes/security;Охрана, безопасность;Резюме;resume
/jobs-education/resumes/retail;Продажи;Резюме;resume
/jobs-education/resumes/production;Промышленность, производство;Резюме;resume
/jobs-education/resumes/horeca;Ресторанный бизнес, фастфуд;Резюме;resume
/jobs-education/resumes/management;Руководители;Резюме;resume
/jobs-education/resumes/print-media;Сми, издательство, полиграфия;Резюме;resume
/jobs-education/resumes/insurance;Страхование;Резюме;resume
/jobs-education/resumes/building;Строительство и архитектура;Резюме;resume
/jobs-education/resumes/transport;Транспорт, автобизнес;Резюме;resume
/jobs-education/resumes/tourism;Туризм, гостиничное дело;Резюме;resume
/jobs-education/resumes/freelance;Удаленная работа;Резюме;resume
/jobs-education/resumes/hr;Управление персоналом;Резюме;resume
/jobs-education/resumes/finance;Финансы, бухгалтерия, банк;Резюме;resume
/jobs-education/resumes/legal;Юриспруденция;Резюме;resume
/jobs-education/resumes/other;Другие сферы деятельности;Резюме;resume
;Образование ;;
/jobs-education/education/languages;Иностранные языки;Языки;languages
/jobs-education/education/tutors;Преподаватели, репетиторы;Преподаватели, репетиторы;tutors
/jobs-education/education/preschoolers;Дошкольное образование;Для дошкольников;preschoolers
/jobs-education/education/trainings;Курсы, семинары, тренинги;Курсы, семинары, тренинги;cources
/jobs-education/education/other;Другое;Другое образование;other_education
/jobs-education/other;Другое;Другое работа и образование;other_job_education
;Здоровье и красота;;
/beauty-health/perfumes;Парфюмерия;Парфюмерия;perfume
/beauty-health/cosmetics;Косметика;Косметика;cosmetics
/beauty-health/lose-weight;Похудение;Похудение;slimming
/beauty-health/equipment;Оснащение;Оснащение;medic_equipment
/beauty-health/medical-care;Медицинская помощь ;Медпомощь;medical_aid
/beauty-health/cosmetology;Косметология и коррекция;Косметология и коррекция;cosmetology
/beauty-health/massage;Массаж;Массаж;massage
/beauty-health/other;Другое;Другие косметологические услуги;other_cosmetic_services
;Животные и растения;;
;Животные ;;
/animals-plants/animals/dogs;Собаки;Собаки;dog
/animals-plants/animals/cats;Кошки;Кошки;cat
/animals-plants/animals/birds;Птицы;Птицы;bird
/animals-plants/animals/aquarium;Аквариумные;Аквариумные;fish
/animals-plants/animals/rodents;Грызуны;Грызуны;rodent
/animals-plants/animals/other;Другие животные;Другие животные;other_animal
;Аксессуары ;;
/animals-plants/accessories/food;Корма и добавки;Корма;forage
/animals-plants/accessories/animal_cloth;Одежда для животных;Одежда для животных;animal_cloth
/animals-plants/accessories/care;Средства для ухода за животными;Средства для ухода за животными;care
/animals-plants/accessories/aquarium;Аквариумистика;Аквариумистика;aquarium
/animals-plants/accessories/other;Другое;Другие аксессуары для животных;other_animal_access
/animals-plants/plants;Растения;Растения;plant
;Праздники и подарки;;
/gifts/holiday;Тематические подарки;Тематические подарки;holiday
/gifts/business-souvenir;Бизнес сувениры;Бизнес сувениры;business_souvenir
/gifts/flower;Букеты, декоративные цветы и вкусные подарки;Букеты, декоративные цветы и вкусные подарки;flowers
/gifts/decoration;Подарки для декора и интерьера;Подарки для декора и интерьера;decor_gifts
/gifts/hobby;Хобби и развлечения;Хобби и развлечения;hobby_gifts
/gifts/wine-tobacco;Принадлежности для спиртного и аксессуары для курения;Принадлежности для спиртного и аксессуары для курения;wine-tobacco_gifts
/gifts/gift-set;Подарочные наборы;Подарочные наборы;gift_set
/gifts/gift-certificate;Подарочные сертификаты;Подарочные сертификаты;gift_certificate
/gifts/handmade;Подарки ручной работы;Подарки ручной работы;handmade
/gifts/holiday-accessory;Праздничные аксессуары;Праздничные аксессуары;holiday_accessory
/gifts/other;Другое;Подарки другое;present
;Другое;;
/other/food;Продовольствие;Продовольствие;food
/other/adult;Товары для взрослых;Товары для взрослых;adult
/other/other;Другое;Другое;other_other
/otdam-darom;Отдам даром;Отдам даром;darom
