Путь рубрики;Название рубрики;Типы объявления;Метка
/real-estate/garage/stall;Гаражи и боксы (продажа);Гаражи и боксы;realty_garage
;Спрос;;
/real-estate/spros/live;Жилая (спрос);Жилая спрос;realty_living_spros
/real-estate/spros/commercial;Коммерческая;Недвижимость комм. спрос;realty_comm_demand
/real-estate/spros/out-of-town;Загородная;Дома, дачи спрос;realty_land_demand
/real-estate/spros/garage;Гаражи и стоянки;Гаражи спрос;realty_car_demand
/real-estate/services;Услуги;Услуги недвижимости;realty_service
/real-estate/exchange;Обмен;Обмен недвижимости;realty_change
/real-estate/other;Другое;Недвижимость другая;realty_other
;Электроника и техника;;
/electronics-technics/vacuum;Пылесосы;Пылесосы;vacuum_cleaner
/electronics-technics/bookreader;Электронные книги;Электронные книги;bookreader
;Кухонная техника;;
/electronics-technics/kitchen/refrigerators;Холодильники;Холодильники;refrigerator
/electronics-technics/kitchen/microwaves;Микроволновые печи;Микроволновки;microwave
/electronics-technics/kitchen/cooking-panels;Плиты и варочные панели;Плиты;coocker
;;Рабочие поверхности; cock_panel
;;Духовки; inbuilt_oven
/electronics-technics/kitchen/washing;Посудомоечные машины;Посудомоечные машины;dishwasher
/electronics-technics/kitchen/combines;Кухонные комбайны;Кухонные комбайны; kithen_machine
/electronics-technics/kitchen/electric-kettles;Электрочайники;Электрочайники;kettle
/electronics-technics/kitchen/coffee-makers;Кофеварки и кофемашины;Кофеварки и кофемашины;coffeemachine
/electronics-technics/kitchen/coffee-grinders;Кофемолки;Кофемолки; coffegrinder
/electronics-technics/kitchen/mixers;Миксеры, блендеры;Миксер;mixer
;; Блендер;blender
/electronics-technics/kitchen/toasters;Тостеры;Тостер;toaster
/electronics-technics/kitchen/double-boilers;Пароварки;Пароварки;steamcoocker
/electronics-technics/kitchen/deep-fryers;Фритюрницы; Фритюрницы; deepfryer
/electronics-technics/kitchen/bread-oven;Хлебопечки;Хлебопечки;bakingmachine
/electronics-technics/kitchen/electrogrills;Электрогрили;Электрогрили; electrogrill
/electronics-technics/kitchen/juice-extractors;Соковыжималки;Соковыжималки;juicer
/electronics-technics/kitchen/meat-grinders;Мясорубки;Мясорубки; meatchopper
/electronics-technics/kitchen/scales;Кухонные весы;Весы кухонные;scales
/electronics-technics/kitchen/water-treating-filters;Фильтры для очистки воды и картриджи;Картридж;cartrige
;;Фильтры для воды;water-filter
/electronics-technics/kitchen/hoods;Вытяжки; Вытяжки;airvent
/electronics-technics/kitchen/other;Прочее;Другая кухонная техника;other_kitchen
;Аудио, Видео;;
/electronics-technics/tv-audio-dvd/tv;Телевизоры и плазменные панели;Телевизоры;tv
;;Плазменные панели;pdp
/electronics-technics/tv-audio-dvd/video-dvd;Видеоплееры и рекордеры - dvd;Видеоплееры и рекордеры - DVD;dvd
/electronics-technics/tv-audio-dvd/video-vhs;Видеоплееры и рекордеры - vhs;Видеоплееры и рекордеры - VHS;vhs
/electronics-technics/tv-audio-dvd/cameras;Видеокамеры;Видеокамеры;videocamera
/electronics-technics/tv-audio-dvd/musical-centres;Проигрыватели и музыкальные центры;Проигрыватели и музыкальные центры;player
/electronics-technics/tv-audio-dvd/house-cinemas;Домашние кинотеатры;Домашние кинотеатры; home_cinema
/electronics-technics/tv-audio-dvd/acoustics;Акустические системы;Акустические системы;acoustic_system
/electronics-technics/tv-audio-dvd/receivers;Ресиверы;Ресиверы;receiver
/electronics-technics/tv-audio-dvd/amplifiers;Усилители;Усилители;amplifier
/electronics-technics/tv-audio-dvd/karaoke;Караоке;Караоке;karaoke
/electronics-technics/tv-audio-dvd/tape-recorders;Магнитолы;Магнитолы;recorder
/electronics-technics/tv-audio-dvd/audioplayers;Аудиоплееры;Аудиоплееры; audioplayer
/electronics-technics/tv-audio-dvd/dictophones;Диктофоны;Диктофоны; dictophone
/electronics-technics/tv-audio-dvd/ear-phones;Наушники;Наушники;headphones
/electronics-technics/tv-audio-dvd/radio-receivers;Радиоприемники;Радиоприемники;radio
/electronics-technics/tv-audio-dvd/satellite-tv;Спутниковое тв;Спутниковое ТВ; satellite_tv
/electronics-technics/tv-audio-dvd/audio-video-accessories;Аксессуары для аудио-видео;Аксессуары для аудио-видео; access_audio
/electronics-technics/tv-audio-dvd/other;Другое;Прочие аудио-видео товары;other_audio_video_goods
;Стиральные машины ;;
/electronics-technics/washing-machines/washing;Стиральные машины;Стиральные машины;washer
/electronics-technics/washing-machines/drying;Сушильные машины;Сушильные машины;dryer
;Климатическая техника;;
/electronics-technics/climatic-technics/air-conditioning;Кондиционеры;Кондиционеры;conditioner
/electronics-technics/climatic-technics/fans;Вентиляторы;Вентиляторы;pc_fan
/electronics-technics/climatic-technics/water-heaters;Водонагреватели;Водонагреватели, бойлеры;boiler
/electronics-technics/climatic-technics/heating-devices;Обогревательные приборы;Обогревательные приборы;heater
/electronics-technics/climatic-technics/air-purification-systems;Системы очистки воздуха;Системы очистки воздуха;air_cleaner
/electronics-technics/climatic-technics/thermometers-meteorological-stations;Термометры и метеостанции;Термометры и метеостанции;termometer
;Игры, игровые приставки;;
/electronics-technics/games/game-consoles;Игровые приставки;Игровые приставки;tv_game
/electronics-technics/games/games-for-consoles;Игры для приставок;Игры для приставок;tv_games
;Индивидуальный уход ;;
/electronics-technics/individual-care/razors-trimmers;Бритвы, триммеры;Бритвы, триммеры;razor
/electronics-technics/individual-care/hair;Для укладки волос;Приборы для укладки волос;hairsetter
/electronics-technics/individual-care/hairstyle;Для стрижки волос;Машинки для стрижки волос; haircutter
/electronics-technics/individual-care/epilators;Эпиляторы;Эпиляторы;epilator
/electronics-technics/individual-care/cosmetic-equipment;Косметические приборы;Косметические приборы; cosmetic_device
/electronics-technics/individual-care/toothbrushes;Зубные щетки;Зубные щетки;toothbrush
/electronics-technics/individual-care/scales;Весы напольные;Весы напольные;sales_big
/electronics-technics/gps-navigators;GPS-навигаторы;GPS-навигаторы;gps
;Гладильное и швейное оборудование;;
/electronics-technics/ironing-sewing-equipment/irons;Утюги ;Утюги;iron
/electronics-technics/ironing-sewing-equipment/sewing-machines;Швейные машины ;Швейные машины;sew_machine
/electronics-technics/ironing-sewing-equipment/knitting-machine;Вязальные машины ;Вязальные машины;knitting_machine
/electronics-technics/ironing-sewing-equipment/overlock;Оверлоки ;Оверлоки;zigzagger
/electronics-technics/repair/;Ремонт и сервис электроники и бытовой техники;Ремонт и сервис электроники и бытовой техники;electro_repair_service
/electronics-technics/other;Другое;Другая электроника и бытовая техника;other_electronic
;Компьютерная техника;;
;Ноутбуки;;
/computers-devices/notebooks/notebooks;Ноутбуки;Ноутбуки;notebooks
/computers-devices/notebooks/netbooks_umpc;Нетбуки и UMPC;Нетбуки и UMPC;netbooks
/computers-devices/notebooks/cases_for_notebooks;Сумки и чехлы для ноутбуков;Сумки и чехлы для ноутбуков;noutebooks_case
/computers-devices/notebooks/accessories;Аксессуары для ноутбуков ;Аксессуары для ноутбуков;access_notebook
/computers-devices/desktops;Настольные компьютеры;Настольные компьютеры;desktop
;КПК;;
/computers-devices/pdas_communicators/pda;КПК;КПК; pda
/computers-devices/tablet;Планшеты;Планшеты;tablet
/computers-devices/servers;Серверы;Серверы;server
/computers-devices/pdas_communicators/accessories;Аксессуары для КПК ;Аксессуары для КПК;access_pda
;Мультимедиа;;
/computers-devices/multimedia/acoustics_pc;Акустика для ПК;Акустика для ПК;pc_acoustic
/computers-devices/multimedia/headphones_microphones;Наушники и микрофоны;Наушники и микрофоны для ПК; pc_headphone
/computers-devices/multimedia/webcams;Веб-камеры;Веб-камеры;web_camera
/computers-devices/multimedia/graphic_tablets;Графические планшеты;Графические планшеты;graphic_tablet
/computers-devices/multimedia/tv-tuners;TV-тюнеры;TV-тюнеры;tv_tuner
/computers-devices/multimedia/midi_keyboards;MIDI-клавиатуры;MIDI-клавиатуры;midi_keyboard
/computers-devices/multimedia/projectors;Проекторы;Проекторы;projector
/computers-devices/multimedia/videoconferences;Оборудование для видеоконференций;Оборудование для видеоконференций;conference_equipment
;Мониторы;;
/computers-devices/monitors/lcd;LCD (ЖК);Мониторы ЖК;lcd
/computers-devices/monitors/crt;ЭЛТ;Мониторы ЭЛТ;crt
;Принтеры, сканеры, копиры;;
/computers-devices/printers/printers;Принтеры;Принтеры;printer
/computers-devices/printers/multifunction;Многофункциональные устройства;МФУ (принтер-сканер-копир-факс);mfp
/computers-devices/printers/copiers;Сканеры;Сканеры;scanner
/computers-devices/printers/scanners;Копиры;Копиры;copy
/computers-devices/printers/other;Другое;Другая копировальная техника;other_copir
;Flash-накопители ;;
/computers-devices/flash_drives/memory_cards;Карты памяти;Карты памяти;memory_card
/computers-devices/flash_drives/usb_flash_disks;USB flash-диски;USB flash-диски;usb_flash
/computers-devices/flash_drives/card_readers;Кард-ридеры;Кард-ридеры;cardreader
;Расходные материалы;;
/computers-devices/consumables/disks;Диски, дискеты, кассеты;Диски, дискеты, кассеты;diskette
